Text Message,Manual or Machine,positive,negative,neutral,love,joy,sadness,anger,surprise,fear
Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..,Manual,0.7,0.2,0.1,0.5,0.25,0.1,0.05,0,0.1
U can call me now...,Manual,0.25,0.35,0.4,0.25,0.1,0.1,0.3,0.1,0.15
Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,Manual,0.4,0.35,0.25,0.3,0.2,0.25,0.1,0.05,0.1
"I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ?",Manual,0.15,0.65,0.2,0.2,0,0.5,0.1,0.1,0.1
"\HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.\""""",Manual,0.1,0.7,0.2,0,0.1,0.3,0.45,0.05,0.1
How much you got for cleaning,Manual,0.1,0.25,0.65,0,0.1,0.25,0.3,0.25,0.1
Lmao!nice 1,Manual,0.65,0.05,0.3,0.15,0.5,0,0.05,0.3,0
That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,Manual,0.4,0.5,0.1,0.5,0.15,0.2,0,0.05,0.1
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,Manual,0.55,0.1,0.35,0.35,0.45,0,0,0.1,0.1
Thanx but my birthday is over already.,Manual,0.25,0.6,0.15,0.05,0.15,0.45,0.3,0,0.05
"\Are you comingdown later?\""""",Manual,0.25,0.15,0.6,0.2,0.25,0,0,0.35,0.1
And miss vday the parachute and double coins??? U must not know me very well...,Manual,0.15,0.75,0.1,0.1,0,0.4,0.3,0.15,0.05
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,Manual,0.4,0.6,0,0,0.15,0.25,0.15,0.25,0.2
K. Did you call me just now ah?,Manual,0.15,0.55,0.3,0.2,0.05,0.15,0.15,0.3,0.15
"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel",Manual,0.35,0.15,0.5,0.15,0.55,0.05,0.05,0.15,0.05
Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,Manual,0.3,0.2,0.5,0.2,0.5,0.05,0.05,0.05,0.2
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),Manual,0.1,0.75,0.15,0,0,0.55,0.4,0.05,0
Yar lor actually we quite fast... Cos da ge slow wat... Haha...,Manual,0.5,0.25,0.25,0.2,0.4,0.2,0.15,0.05,0
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,Manual,0.25,0.05,0.7,0,0.55,0.05,0,0.35,0.05
Which channel:-):-):):-).,Manual,0.75,0,0.25,0.5,0.4,0,0,0.1,0
Only saturday and sunday holiday so its very difficult:),Manual,0.25,0.5,0.25,0.1,0.1,0.3,0.2,0.1,0.2
"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2",Manual,0.1,0.2,0.7,0.05,0.35,0.15,0.2,0.15,0.1
Oh oh... Den muz change plan liao... Go back have to yan jiu again...,Manual,0.25,0.6,0.15,0,0,0.4,0.3,0.05,0.25
"I'll see, but prolly yeah",Manual,0.45,0.4,0.15,0.05,0.45,0.15,0.1,0.1,0.15
"yeah, that's what I was thinking",Manual,0.35,0.25,0.4,0.15,0.35,0.2,0.15,0.15,0
Excellent! Are you ready to moan and scream in ecstasy?,Manual,0.7,0.3,0,0.55,0.2,0.05,0.05,0,0.15
He remains a bro amongst bros,Manual,0.45,0.25,0.3,0.35,0.15,0.25,0.1,0,0.15
Ok set let u noe e details later...,Manual,0.35,0.35,0.3,0.2,0.35,0.2,0.15,0.05,0.05
I'm in class. Did you get my text.,Manual,0.25,0.35,0.4,0.1,0.1,0.25,0.4,0.1,0.05
�� predict wat time �_'ll finish buying?,Manual,0.2,0.15,0.65,0,0.1,0,0.15,0.45,0.3
"Its good, we'll find a way",Manual,0.6,0.1,0.3,0.3,0.45,0,0,0,0.25
I AM AT A PARTY WITH ALEX NICHOLS,Manual,0.85,0.05,0.1,0.2,0.25,0,0,0.55,0
Eatin my lunch...,Manual,0.15,0.35,0.5,0.15,0.45,0.05,0.35,0,0
twenty past five he said will this train have been to durham already or not coz i am in a reserved seat,Manual,0.25,0.65,0.1,0,0,0.1,0.2,0.15,0.55
We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow!,Manual,0,0.85,0.15,0,0,0.3,0.2,0.4,0.1
645,Manual,0,0,1,0.2,0.2,0.2,0.3,0.1,0
"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(",Manual,0.5,0.4,0.1,0.7,0,0.3,0,0,0
Change windows logoff sound..,Manual,0.15,0.55,0.3,0,0.1,0.35,0.45,0.1,0
At WHAT TIME should i come tomorrow,Manual,0.45,0.4,0.15,0.15,0.4,0,0.3,0.15,0
Dunno lei shd b driving lor cos i go sch 1 hr oni.,Manual,0.2,0.5,0.3,0.1,0.05,0.15,0.35,0.05,0.3
WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,Manual,0.45,0.1,0.45,0,0.05,0,0.25,0.45,0.25
Din i tell u jus now 420,Manual,0.15,0.4,0.45,0,0.05,0.05,0.6,0.25,0.05
"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!",Manual,0.25,0.6,0.15,0.1,0,0.25,0.6,0,0.05
Have you always been saying welp?,Manual,0.25,0.3,0.45,0.2,0.25,0.1,0,0.45,0
"GOD ASKED, \What is forgiveness?\"" A little child gave lovely reply",Manual,0.7,0.15,0.15,0.55,0.2,0,0,0,0.25
I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,Manual,0,0.9,0.1,0,0,0.1,0.85,0.05,0
Hello madam how are you ?,Manual,0.5,0.05,0.45,0.35,0.55,0,0,0.1,0
Am i that much bad to avoid like this?,Manual,0.05,0.8,0.15,0,0,0.3,0.15,0.25,0.3
I have gone into get info bt dont know what to do,Manual,0.2,0.5,0.3,0,0,0.15,0.05,0.3,0.5
I wanna watch that movie,Manual,0.65,0.15,0.2,0.4,0.45,0.1,0.05,0,0
X2  &lt;#&gt; . Are you going to get that,Manual,0.4,0.4,0.2,0,0.2,0.2,0.45,0.05,0.1
May b approve panalam...but it should have more posts..,Manual,0.15,0.6,0.25,0,0.1,0.25,0.15,0.25,0.25
I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?,Manual,0.15,0.45,0.4,0.15,0.25,0.55,0.05,0,0
I love working from home :),Manual,0.9,0,0.1,0.8,0.2,0,0,0,0
In work now. Going have in few min.,Manual,0.15,0.2,0.65,0.2,0.3,0.15,0.3,0,0.05
Stupid.its not possible,Manual,0,0.9,0.1,0,0,0,0.65,0.3,0.05
"Now, whats your house # again ? And do you have any beer there ?",Manual,0.25,0.15,0.6,0.2,0.5,0,0,0.2,0.1
"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!",Manual,1,0,0,0.95,0.05,0,0,0,0
I always chat with you. In fact i need money can you raise me?,Manual,0.55,0.2,0.25,0.25,0.35,0,0.15,0.2,0.05
Very hurting n meaningful lines ever: \I compromised everything for my love,Manual,0.15,0.65,0.2,0.2,0,0.7,0.1,0,0
Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs,Manual,0.35,0.3,0.35,0.05,0.15,0.4,0.1,0.15,0.15
How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,Manual,0.35,0.4,0.25,0.3,0,0.3,0.4,0,0
Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color,Manual,0.45,0.2,0.35,0.45,0.4,0.1,0.05,0,0
Its worse if if uses half way then stops. Its better for him to complete it.,Manual,0.2,0.6,0.2,0,0,0.2,0.4,0,0.4
watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,Manual,0.1,0.75,0.15,0,0,0.65,0.15,0,0.2
cool. We will have fun practicing making babies!,Manual,0.9,0,0.1,0.7,0.3,0,0,0,0
MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.,Manual,0,1,0,0,0,0,0.95,0.05,0
"Probably, want to pick up more?",Manual,0.35,0.2,0.45,0.15,0.45,0,0.2,0.1,0.1
Yup ok thanx...,Manual,0.45,0.3,0.25,0.1,0.5,0,0.4,0,0
Buy one egg for me da..please:),Manual,0.55,0.1,0.35,0.6,0.4,0,0,0,0
Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,Manual,0.05,0.8,0.15,0,0,0.75,0.25,0,0
You got called a tool?,Manual,0.1,0.8,0.1,0,0,0.2,0.25,0.55,0
U call me alter at 11 ok.,Manual,0.25,0.2,0.55,0.2,0.35,0.05,0.25,0.05,0.1
We'll you pay over like  &lt;#&gt; yrs so its not too difficult,Manual,0.5,0.2,0.3,0.2,0.45,0.15,0,0.05,0.15
How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.,Manual,0.45,0.25,0.3,0.15,0.6,0.15,0,0.1,0
If we win its really no 1 side for long time.,Manual,0.3,0.35,0.35,0.2,0.35,0.25,0.15,0.05,0
"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\""""",Manual,0.75,0.15,0.1,0.7,0.25,0,0,0,0.05
Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,Manual,0.4,0.4,0.2,0.05,0,0.2,0.35,0.05,0.35
If You mean the website. Yes.,Manual,0.5,0.3,0.2,0.1,0.4,0,0.25,0.05,0.2
Two teams waiting for some players,Manual,0.2,0.3,0.5,0,0,0.1,0.45,0.25,0.2
"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",Manual,0.35,0.5,0.15,0,0.2,0.55,0.25,0,0
"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING",Manual,0.55,0.25,0.2,0.65,0.1,0.15,0,0,0.1
I didn't get the second half of that message,Manual,0.15,0.5,0.35,0,0.1,0.05,0.2,0.45,0.2
Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,Manual,0.5,0.15,0.35,0.45,0.05,0.3,0,0.15,0.05
Yup,Manual,0.15,0.2,0.65,0.1,0.2,0.1,0.5,0.05,0.05
Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks,Manual,0.35,0.2,0.45,0,0.25,0,0.2,0.3,0.25
S s..first time..dhoni rocks...,Manual,0.85,0.1,0.05,0.2,0.25,0,0.15,0.15,0.25
I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,Manual,0.7,0.1,0.2,0.5,0.5,0,0,0,0
Gudnite....tc...practice going on,Manual,0.6,0.2,0.2,0.55,0.15,0,0.25,0,0.05
"Sorry,in meeting I'll call later",Manual,0.2,0.35,0.45,0.05,0.05,0.7,0.15,0,0.05
"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",Manual,0.6,0.15,0.25,0.8,0.05,0.15,0,0,0
Oops my phone died and I didn't even know. Yeah I like it better.,Manual,0.5,0.3,0.2,0,0.25,0.15,0.05,0.55,0
"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\""""",Manual,0.95,0,0.05,0.25,0.55,0,0,0.2,0
Welp apparently he retired,Manual,0.1,0.8,0.1,0,0,0.35,0.1,0.55,0
I just lov this line: \Hurt me with the truth,Manual,0.35,0.6,0.05,0.5,0,0.45,0,0.05,0
Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx,Manual,0.6,0.35,0.05,0.45,0,0.15,0.15,0,0.25
Did u download the fring app?,Manual,0.4,0.05,0.55,0.1,0.5,0,0,0.4,0
Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.,Manual,0.35,0.25,0.4,0.1,0.35,0.05,0.05,0.3,0.15
Pls i wont belive god.not only jesus.,Manual,0.15,0.7,0.15,0.2,0,0.3,0.1,0,0.4
Ok...,Manual,0.15,0.45,0.4,0.1,0.1,0.1,0.4,0.3,0